Country ID,Source Data,Country Name,Year,CPI
262,General,Djibouti,2017,116.22
682,Food,Saudi Arabia,2017,116.16
266,Food,Gabon,2015,115.95
124,Food,Canada,2017,115.93
148,General,Chad,2015,115.91
48,Food,Bahrain,2016,115.9
136,Food,Cayman Islands,2016,115.89
124,Food,Canada,2016,115.86
266,Food,Gabon,2016,115.84
499,Food,Montenegro,2018,115.83
120,General,Cameroon,2018,115.81
136,Food,Cayman Islands,2015,115.81
384,Food,Côte dIvoire,2017,115.71
246,Food,Finland,2015,115.71
608,Food,Philippines,2017,115.7
440,General,Lithuania,2018,115.69
682,General,Saudi Arabia,2017,115.69
36,General,Australia,2017,115.69
826,General,United Kingdom,2017,115.62
248,Food,Åland Islands,2018,115.6
410,Food,Republic of Korea,2015,115.6
262,General,Djibouti,2016,115.56
624,Food,Guinea-Bissau,2016,115.54
152,General,Chile,2017,115.53
246,Food,Finland,2018,115.52
400,General,Jordan,2016,115.48
316,General,Guam,2017,115.46
233,General,Estonia,2017,115.45
56,General,Belgium,2018,115.45
499,Food,Montenegro,2017,115.36
442,Food,Luxembourg,2017,115.33
384,Food,Côte dIvoire,2016,115.32
702,Food,Singapore,2016,115.25
400,Food,Jordan,2015,115.24
48,General,Bahrain,2017,115.23
40,Food,Austria,2016,115.2
458,General,Malaysia,2016,115.17
840,General,United States of America,2018,115.16
585,Food,Palau,2017,115.14
8,General,Albania,2017,115.08
422,General,Lebanon,2015,114.97
616,Food,Poland,2017,114.92
156,General,China,2015,114.86
410,General,Republic of Korea,2018,114.78
524,Food,Nepal,2017,114.75
440,Food,Lithuania,2016,114.7
268,General,Georgia,2015,114.66
152,Food,Chile,2015,114.59
120,General,Cameroon,2017,114.58
578,General,Norway,2017,114.55
124,General,Canada,2018,114.52
20,Food,Andorra,2018,114.47
48,Food,Bahrain,2015,114.46
348,General,Hungary,2017,114.45
40,Food,Austria,2015,114.42
246,Food,Finland,2016,114.38
703,Food,Slovakia,2017,114.38
682,General,Saudi Arabia,2015,114.36
400,Food,Jordan,2018,114.36
499,Food,Montenegro,2015,114.33
56,Food,Belgium,2017,114.33
248,Food,Åland Islands,2015,114.3
266,General,Gabon,2017,114.25
705,Food,Slovenia,2016,114.22
642,General,Romania,2015,114.2
124,Food,Canada,2015,114.19
144,Food,Sri Lanka,2016,114.1
422,General,Lebanon,2016,114.07
752,Food,Sweden,2018,114.01
578,Food,Norway,2018,114.01
40,General,Austria,2017,114.0
184,Food,Cook Islands,2018,113.96
642,General,Romania,2017,113.95
4,Food,Afghanistan,2017,113.93
540,Food,New Caledonia,2018,113.89
